,ts1,ts2,ts3
0.0,-1.0,-1.0,-0.5
0.1000100010001,-1.01900370054007,-0.88298689857985,-1.49009800970096
0.2000200020002,-1.07201360192024,-0.74397119703972,-2.4601920188018402
0.3000300030003,-1.15302790378045,-0.6009582964597899,-3.41028202730264
0.4000400040004,-1.2560448057606401,-0.47195359792024005,-4.34036803520336
0.5000500050005,-1.37506250750075,-0.3749625025012502,-5.250450042504
0.6000600060006,-1.5040792086407202,-0.32799041128300055,-6.14052804920456
0.7000700070007,-1.6370931088204899,-0.34904272534567093,-7.010602055305039
0.8000800080008,-1.7681024076799998,-0.45612484576944146,-7.86067206080544
0.9000900090009001,-1.8911053048591895,-0.6672421736344925,-8.69073806570576
1.000100010001,-2.0000999999979996,-1.0004001100210027,-9.500800070006
1.1001100110011,-2.0890846927363693,-1.4736040560091537,-10.290858073706158
1.2001200120012,-2.1520575827142387,-2.1048594126791262,-11.06091207680624
1.3001300130013,-2.1830168695715484,-2.9121715811110978,-11.81096207930624
1.4001400140014,-2.175960752948238,-3.9135459623852484,-12.541008081206158
1.5001500150015001,-2.124887432484247,-5.126987957581763,-13.251050082506001
1.6001600160016,-2.0237951078195167,-6.570502967780814,-13.94108808320576
1.7001700170017,-1.8666819785939852,-8.262096394062588,-14.611122083305439
1.8001800180018002,-1.647546244447594,-10.219773637507263,-15.26115208280504
1.9001900190019,-1.3603861050202832,-12.461540099195016,-15.89117808170456
2.000200020002,-0.9991997599519937,-15.005401180206027,-16.501200080003997
2.1002100210021,-0.5579854088826615,-17.869362281620482,-17.09121807770336
2.2002200220022,-0.0307412514522305,-21.071428804518554,-17.661232074802637
2.3002300230023,0.5885345126993613,-24.629606149980436,-18.21124207130184
2.4002400240024,1.3058436839321743,-28.5618997190863,-18.74124806720096
2.5002500250025,2.1271880626062636,-32.88631491291629,-19.2512500625
2.6002600260026,3.0585694490816984,-37.62085713255067,-19.74124805719896
2.7002700270027002,4.105989643718534,-42.78353177906955,-20.211242051297837
2.8002800280028,5.275450446876821,-48.392344253553105,-20.661232044796634
2.9002900290029,6.572953658916635,-54.465299957081584,-21.091218037695356
3.0003000300030003,8.004501080198033,-61.020404290735115,-21.501200029994
3.1003100310031,9.57609451108106,-68.07566265559385,-21.89117802169256
3.2003200320032,11.293735751925794,-75.64908045273803,-22.261152012791037
3.3003300330033003,13.16342660309229,-83.75866308324784,-22.611122003289434
3.4003400340034,15.191168864940604,-92.42241594820338,-22.941087993187757
