,ts1,ts2,ts3,ts4,ts5
0.0,4.3,-2.9,1.1,0.3,-1.5
0.1000100010001,4.3,-2.9,1.1,0.3,-1.5
0.2000200020002,4.3,-2.9,1.1,0.3,-1.5
0.3000300030003,4.3,-2.9,1.1,0.3,-1.5
0.4000400040004,4.3,-2.9,1.1,0.3,-1.5
0.5000500050005,4.3,-2.9,1.1,0.3,-1.5
0.6000600060006,4.3,-2.9,1.1,0.3,-1.5
0.7000700070007,4.3,-2.9,1.1,0.3,-1.5
0.8000800080008,4.3,-2.9,1.1,0.3,-1.5
0.9000900090009001,4.3,-2.9,1.1,0.3,-1.5
1.000100010001,4.3,-2.9,1.1,0.3,-1.5
1.1001100110011,4.3,-2.9,1.1,0.3,-1.5
1.2001200120012,4.3,-2.9,1.1,0.3,-1.5
1.3001300130013,4.3,-2.9,1.1,0.3,-1.5
1.4001400140014,4.3,-2.9,1.1,0.3,-1.5
1.5001500150015001,4.3,-2.9,1.1,0.3,-1.5
1.6001600160016,4.3,-2.9,1.1,0.3,-1.5
1.7001700170017,4.3,-2.9,1.1,0.3,-1.5
1.8001800180018002,4.3,-2.9,1.1,0.3,-1.5
1.9001900190019,4.3,-2.9,1.1,0.3,-1.5
2.000200020002,4.3,-2.9,1.1,0.3,-1.5
2.1002100210021,4.3,-2.9,1.1,0.3,-1.5
2.2002200220022,4.3,-2.9,1.1,0.3,-1.5
2.3002300230023,4.3,-2.9,1.1,0.3,-1.5
2.4002400240024,4.3,-2.9,1.1,0.3,-1.5
2.5002500250025,4.3,-2.9,1.1,0.3,-1.5
2.6002600260026,4.3,-2.9,1.1,0.3,-1.5
2.7002700270027002,4.3,-2.9,1.1,0.3,-1.5
2.8002800280028,4.3,-2.9,1.1,0.3,-1.5
2.9002900290029,4.3,-2.9,1.1,0.3,-1.5
3.0003000300030003,4.3,-2.9,1.1,0.3,-1.5
3.1003100310031,4.3,-2.9,1.1,0.3,-1.5
3.2003200320032,4.3,-2.9,1.1,0.3,-1.5
3.3003300330033003,4.3,-2.9,1.1,0.3,-1.5
3.4003400340034,4.3,-2.9,1.1,0.3,-1.5
3.5003500350035,4.3,-2.9,1.1,0.3,-1.5
3.6003600360036003,4.3,-2.9,1.1,0.3,-1.5
3.7003700370037,4.3,-2.9,1.1,0.3,-1.5
3.8003800380038,4.3,-2.9,1.1,0.3,-1.5
3.9003900390039004,4.3,-2.9,1.1,0.3,-1.5
4.000400040004,4.3,-2.9,1.1,0.3,-1.5
4.1004100410041,4.3,-2.9,1.1,0.3,-1.5
4.2004200420042,4.3,-2.9,1.1,0.3,-1.5
4.3004300430043,4.3,-2.9,1.1,0.3,-1.5
4.4004400440044,4.3,-2.9,1.1,0.3,-1.5
4.5004500450045,4.3,-2.9,1.1,0.3,-1.5
4.6004600460046,4.3,-2.9,1.1,0.3,-1.5
4.7004700470047,4.3,-2.9,1.1,0.3,-1.5
4.8004800480048,4.3,-2.9,1.1,0.3,-1.5
4.9004900490049,4.3,-2.9,1.1,0.3,-1.5
5.000500050005,4.3,-2.9,1.1,0.3,-1.5
5.1005100510051005,4.3,-2.9,1.1,0.3,-1.5
5.2005200520052,4.3,-2.9,1.1,0.3,-1.5
5.3005300530053,4.3,-2.9,1.1,0.3,-1.5
5.4005400540054005,4.3,-2.9,1.1,0.3,-1.5
5.5005500550055,4.3,-2.9,1.1,0.3,-1.5
5.6005600560056,4.3,-2.9,1.1,0.3,-1.5
5.7005700570057005,4.3,-2.9,1.1,0.3,-1.5
5.8005800580058,4.3,-2.9,1.1,0.3,-1.5
5.9005900590059,4.3,-2.9,1.1,0.3,-1.5
6.0006000600060005,4.3,-2.9,1.1,0.3,-1.5
6.1006100610061,4.3,-2.9,1.1,0.3,-1.5
6.2006200620062,4.3,-2.9,1.1,0.3,-1.5
6.300630063006301,4.3,-2.9,1.1,0.3,-1.5
6.4006400640064,4.3,-2.9,1.1,0.3,-1.5
6.5006500650065,4.3,-2.9,1.1,0.3,-1.5
6.600660066006601,4.3,-2.9,1.1,0.3,-1.5
6.7006700670067,4.3,-2.9,1.1,0.3,-1.5
6.8006800680068,4.3,-2.9,1.1,0.3,-1.5
6.900690069006901,4.3,-2.9,1.1,0.3,-1.5
7.000700070007,4.3,-2.9,1.1,0.3,-1.5
7.1007100710071,4.3,-2.9,1.1,0.3,-1.5
7.200720072007201,4.3,-2.9,1.1,0.3,-1.5
7.3007300730073,4.3,-2.9,1.1,0.3,-1.5
7.4007400740074,4.3,-2.9,1.1,0.3,-1.5
7.500750075007501,4.3,-2.9,1.1,0.3,-1.5
7.6007600760076,4.3,-2.9,1.1,0.3,-1.5
7.7007700770077,4.3,-2.9,1.1,0.3,-1.5
7.800780078007801,4.3,-2.9,1.1,0.3,-1.5
7.9007900790079,4.3,-2.9,1.1,0.3,-1.5
8.000800080008,4.3,-2.9,1.1,0.3,-1.5
8.1008100810081,4.3,-2.9,1.1,0.3,-1.5
8.2008200820082,4.3,-2.9,1.1,0.3,-1.5
8.3008300830083,4.3,-2.9,1.1,0.3,-1.5
8.4008400840084,4.3,-2.9,1.1,0.3,-1.5
8.5008500850085,4.3,-2.9,1.1,0.3,-1.5
8.6008600860086,4.3,-2.9,1.1,0.3,-1.5
8.7008700870087,4.3,-2.9,1.1,0.3,-1.5
8.8008800880088,4.3,-2.9,1.1,0.3,-1.5
8.9008900890089,4.3,-2.9,1.1,0.3,-1.5
9.000900090009,4.3,-2.9,1.1,0.3,-1.5
9.1009100910091,4.3,-2.9,1.1,0.3,-1.5
9.2009200920092,4.3,-2.9,1.1,0.3,-1.5
9.3009300930093,4.3,-2.9,1.1,0.3,-1.5
9.4009400940094,4.3,-2.9,1.1,0.3,-1.5
9.5009500950095,4.3,-2.9,1.1,0.3,-1.5
9.6009600960096,4.3,-2.9,1.1,0.3,-1.5
9.7009700970097,4.3,-2.9,1.1,0.3,-1.5
9.8009800980098,4.3,-2.9,1.1,0.3,-1.5
9.900990099009901,4.3,-2.9,1.1,0.3,-1.5
10.00100010001,4.3,-2.9,1.1,0.3,-1.5
10.1010101010101,4.3,-2.9,1.1,0.3,-1.5
10.201020102010201,4.3,-2.9,1.1,0.3,-1.5
10.3010301030103,4.3,-2.9,1.1,0.3,-1.5
10.4010401040104,4.3,-2.9,1.1,0.3,-1.5
10.501050105010501,4.3,-2.9,1.1,0.3,-1.5
10.6010601060106,4.3,-2.9,1.1,0.3,-1.5
10.7010701070107,4.3,-2.9,1.1,0.3,-1.5
10.801080108010801,4.3,-2.9,1.1,0.3,-1.5
10.9010901090109,4.3,-2.9,1.1,0.3,-1.5
11.001100110011,4.3,-2.9,1.1,0.3,-1.5
11.101110111011101,4.3,-2.9,1.1,0.3,-1.5
11.2011201120112,4.3,-2.9,1.1,0.3,-1.5
11.3011301130113,4.3,-2.9,1.1,0.3,-1.5
11.401140114011401,4.3,-2.9,1.1,0.3,-1.5
11.5011501150115,4.3,-2.9,1.1,0.3,-1.5
11.6011601160116,4.3,-2.9,1.1,0.3,-1.5
11.701170117011701,4.3,-2.9,1.1,0.3,-1.5
11.8011801180118,4.3,-2.9,1.1,0.3,-1.5
11.9011901190119,4.3,-2.9,1.1,0.3,-1.5
12.001200120012001,4.3,-2.9,1.1,0.3,-1.5
12.1012101210121,4.3,-2.9,1.1,0.3,-1.5
12.2012201220122,4.3,-2.9,1.1,0.3,-1.5
12.301230123012301,4.3,-2.9,1.1,0.3,-1.5
12.4012401240124,4.3,-2.9,1.1,0.3,-1.5
12.5012501250125,4.3,-2.9,1.1,0.3,-1.5
12.601260126012601,4.3,-2.9,1.1,0.3,-1.5
12.7012701270127,4.3,-2.9,1.1,0.3,-1.5
12.8012801280128,4.3,-2.9,1.1,0.3,-1.5
12.901290129012901,4.3,-2.9,1.1,0.3,-1.5
13.001300130013,4.3,-2.9,1.1,0.3,-1.5
13.1013101310131,4.3,-2.9,1.1,0.3,-1.5
13.201320132013201,4.3,-2.9,1.1,0.3,-1.5
13.3013301330133,4.3,-2.9,1.1,0.3,-1.5
13.4013401340134,4.3,-2.9,1.1,0.3,-1.5
13.501350135013501,4.3,-2.9,1.1,0.3,-1.5
13.6013601360136,4.3,-2.9,1.1,0.3,-1.5
13.7013701370137,4.3,-2.9,1.1,0.3,-1.5
13.801380138013801,4.3,-2.9,1.1,0.3,-1.5
13.9013901390139,4.3,-2.9,1.1,0.3,-1.5
14.001400140014,4.3,-2.9,1.1,0.3,-1.5
14.101410141014101,4.3,-2.9,1.1,0.3,-1.5
14.2014201420142,4.3,-2.9,1.1,0.3,-1.5
14.3014301430143,4.3,-2.9,1.1,0.3,-1.5
14.401440144014401,4.3,-2.9,1.1,0.3,-1.5
14.5014501450145,4.3,-2.9,1.1,0.3,-1.5
14.6014601460146,4.3,-2.9,1.1,0.3,-1.5
14.701470147014701,4.3,-2.9,1.1,0.3,-1.5
14.8014801480148,4.3,-2.9,1.1,0.3,-1.5
14.9014901490149,4.3,-2.9,1.1,0.3,-1.5
15.001500150015001,4.3,-2.9,1.1,0.3,-1.5
15.1015101510151,4.3,-2.9,1.1,0.3,-1.5
15.2015201520152,4.3,-2.9,1.1,0.3,-1.5
15.301530153015301,4.3,-2.9,1.1,0.3,-1.5
15.4015401540154,4.3,-2.9,1.1,0.3,-1.5
15.5015501550155,4.3,-2.9,1.1,0.3,-1.5
15.601560156015601,4.3,-2.9,1.1,0.3,-1.5
15.7015701570157,4.3,-2.9,1.1,0.3,-1.5
15.8015801580158,4.3,-2.9,1.1,0.3,-1.5
15.901590159015901,4.3,-2.9,1.1,0.3,-1.5
16.001600160016,4.3,-2.9,1.1,0.3,-1.5
16.1016101610161,4.3,-2.9,1.1,0.3,-1.5
16.2016201620162,4.3,-2.9,1.1,0.3,-1.5
16.301630163016302,4.3,-2.9,1.1,0.3,-1.5
16.4016401640164,4.3,-2.9,1.1,0.3,-1.5
